r_m,Phi,clock_dnu_over_nu,interferometer_phase_proxy,cavity_df_over_f,gravimeter_dg_proxy
1.09,2.4375744889545907e-15,2.4375744889545907e-15,-7.624781829101128e-16,1.2187872444772954e-15,1.2626918611425502e-14
1.1,2.3128605528432856e-15,2.3128605528432856e-15,-7.747897480323028e-16,1.1564302764216428e-15,1.2313669583337657e-14
1.11,2.191343186510791e-15,2.191343186510791e-15,-7.867756339910777e-16,1.0956715932553955e-15,1.198779549404376e-14
1.12,2.073142833667785e-15,2.073142833667785e-15,-7.984243923706322e-16,1.0365714168338925e-15,1.1650465660076858e-14
1.1300000000000001,1.9583680189197018e-15,1.9583680189197018e-15,-8.097257867705908e-16,9.791840094598509e-16,1.1302893357580729e-14
1.1400000000000001,1.8471149456686113e-15,1.8471149456686113e-15,-8.206708291468474e-16,9.235574728343057e-16,1.094632826026263e-14
1.1500000000000001,1.739467171394572e-15,1.739467171394572e-15,-8.312518082622587e-16,8.69733585697286e-16,1.0582048537178881e-14
1.16,1.6354953633603839e-15,1.6354953633603839e-15,-8.41462309980206e-16,8.177476816801919e-16,1.0211352682751076e-14
1.17,1.5352571370356265e-15,1.5352571370356265e-15,-8.512972292109366e-16,7.676285685178133e-16,9.835551156076162e-15
1.18,1.438796978745775e-15,1.438796978745775e-15,-8.607527734012356e-16,7.193984893728875e-16,9.455957910330513e-15
1.19,1.3461462532296445e-15,1.3461462532296445e-15,-8.698264575413106e-16,6.730731266148223e-16,9.073881895784857e-15
1.2,1.257323295944279e-15,1.257323295944279e-15,-8.785170907477084e-16,6.286616479721395e-16,8.690618621566855e-15
1.21,1.1723335891016882e-15,1.1723335891016882e-15,-8.868247545664954e-16,5.861667945508441e-16,8.307441861770303e-15
1.22,1.0911700195685382e-15,1.0911700195685382e-15,-8.94750773225579e-16,5.455850097842691e-16,7.925595590773963e-15
1.23,1.0138132159200181e-15,1.0138132159200181e-15,-9.022976761477612e-16,5.069066079600091e-16,7.546286230677745e-15
1.24,9.402319611248913e-16,9.402319611248913e-16,-9.094691531156504e-16,4.701159805624457e-16,7.170675290591138e-15
1.25,8.703836765622351e-16,8.703836765622351e-16,-9.162700025547282e-16,4.3519183828111754e-16,6.7998724731424615e-15
1.26,8.042149723433352e-16,8.042149723433352e-16,-9.22706073470555e-16,4.021074861716676e-16,6.434929318065087e-15
