t_s,modulation_m_t,Phi,clock_dnu_over_nu,cavity_df_over_f,gravimeter_dg_proxy
40.0,-9.797174393178826e-16,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
40.5,0.3090169943749482,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
41.0,0.5877852522924724,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
41.5,0.8090169943749458,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
42.0,0.9510565162951533,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
42.5,1.0,3.752370299948712e-15,3.752370299948712e-15,1.876185149974356e-15,1.4715177646857694e-14
43.0,0.9510565162951539,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
43.5,0.8090169943749491,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
44.0,0.587785252292474,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
44.5,0.3090169943749468,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
45.0,1.102182119232618e-15,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
45.5,-0.3090169943749447,3.656058211873797e-15,3.656058211873797e-15,1.8280291059368986e-15,1.4715177646857694e-14
46.0,-0.5877852522924722,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
46.5,-0.8090169943749478,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
47.0,-0.9510565162951532,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
47.5,-1.0,3.605218523480135e-15,3.605218523480135e-15,1.8026092617400675e-15,1.4715177646857694e-14
48.0,-0.951056516295154,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
48.5,-0.8090169943749471,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
49.0,-0.5877852522924741,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
49.5,-0.3090169943749503,3.656058211873796e-15,3.656058211873796e-15,1.828029105936898e-15,1.4715177646857694e-14
50.0,-1.2246467991473533e-15,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
50.5,0.30901699437494795,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
51.0,0.5877852522924693,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
51.5,0.8090169943749457,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
52.0,0.9510565162951532,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
52.5,1.0,3.752370299948712e-15,3.752370299948712e-15,1.876185149974356e-15,1.4715177646857694e-14
53.0,0.9510565162951529,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
53.5,0.8090169943749492,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
54.0,0.5877852522924742,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
54.5,0.309016994374947,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
55.0,4.899825157862589e-15,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
55.5,-0.30901699437494445,3.656058211873797e-15,3.656058211873797e-15,1.8280291059368986e-15,1.4715177646857694e-14
56.0,-0.587785252292472,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
56.5,-0.8090169943749477,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
57.0,-0.9510565162951542,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
57.5,-1.0,3.605218523480135e-15,3.605218523480135e-15,1.8026092617400675e-15,1.4715177646857694e-14
58.0,-0.951056516295154,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
58.5,-0.8090169943749472,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
59.0,-0.5877852522924771,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
59.5,-0.3090169943749505,3.656058211873796e-15,3.656058211873796e-15,1.828029105936898e-15,1.4715177646857694e-14
60.0,-1.4695761589768238e-15,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
60.5,0.30901699437494773,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
61.0,0.5877852522924748,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
61.5,0.8090169943749455,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
62.0,0.9510565162951531,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
62.5,1.0,3.752370299948712e-15,3.752370299948712e-15,1.876185149974356e-15,1.4715177646857694e-14
63.0,0.9510565162951552,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
63.5,0.8090169943749493,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
64.0,0.5877852522924744,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
64.5,0.30901699437494723,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
65.0,-1.9606728399089416e-15,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
65.5,-0.30901699437494423,3.656058211873797e-15,3.656058211873797e-15,1.8280291059368986e-15,1.4715177646857694e-14
66.0,-0.5877852522924718,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
66.5,-0.8090169943749476,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
67.0,-0.951056516295152,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
67.5,-1.0,3.605218523480135e-15,3.605218523480135e-15,1.8026092617400675e-15,1.4715177646857694e-14
68.0,-0.9510565162951541,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
68.5,-0.8090169943749473,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
